n_samples,mae,rmse,empirical_coverage,coverage_error,undercoverage_loss,overcoverage_margin,mean_width,median_width,mean_interval_score,median_interval_score,miss_lower_pct,miss_upper_pct,model,label,split,horizon,nominal_coverage,q_hat,anchor_horizon,coverage_deficit,mae_norm,rmse_norm,is_norm,coverage_deficit_norm,P_h,I_h,C_h,F_h
8437,13.258182233280923,16.851207353980975,0.7945952352732014,-0.0054047647267986,0.0054047647267986,0.0,41.694417318765005,40.79837806014539,57.37244750647895,43.64924888719747,6.874481450752637,13.665995021927223,catboost,CatBoost + CQR,validation_2024,11,0.8,2.2063786844321958,12,0.005404764726798628,0.9276808166686262,0.9291579192402167,0.9370689442906435,0.24178154823944842,0.9284193679544215,0.9370689442906435,0.24178154823944842,0.7945516345459157
8437,13.371464085217532,16.932400123805774,0.7951878629844732,-0.0048121370155268,0.0048121370155268,0.0,41.980869593902895,41.00244765853394,57.32505197387791,43.732335654186464,6.993006993006993,13.488206708545691,catboost,CatBoost + CQR,validation_2024,12,0.8,2.285999330362316,12,0.004812137015526852,0.9425090677530398,0.93830419487076,0.9354682643851335,0.21527041356407045,0.9404066313118999,0.9354682643851335,0.21527041356407045,0.7934040409916275
8437,13.362414364309986,16.94903290473026,0.788787483702738,-0.011212516297262,0.011212516297262,0.0,41.95512383251112,40.85339327135573,57.606238131879465,43.7272846963145,6.957449330330687,14.16380229939552,catboost,CatBoost + CQR,validation_2024,13,0.8,2.062289457647765,12,0.011212516297262054,0.9413244867140923,0.9401778592274023,0.9449647086304037,0.5015906680581534,0.9407511729707473,0.9449647086304037,0.5015906680581534,0.8546044862520911
8437,13.416561279055284,17.01867221299601,0.7932914543084034,-0.0067085456915966,0.0067085456915966,0.0,42.31340853985606,41.25364772015479,57.88815387433301,44.13344223611069,6.637430366243925,14.033424202915729,catboost,CatBoost + CQR,validation_2024,14,0.8,2.3543528907378573,12,0.0067085456915966235,0.9484121537460446,0.9480226502043985,0.9544857929864097,0.30010604452528394,0.9482174019752215,0.9544857929864097,0.30010604452528394,0.8211024868897093
8437,13.4531189034056,17.085572759740305,0.7937655564774209,-0.0062344435225791,0.0062344435225791,0.0,42.63906975270109,41.50572152366586,58.12700942488645,44.55689689934669,6.708545691596539,13.914898660661374,catboost,CatBoost + CQR,validation_2024,15,0.8,2.6327211663543224,12,0.0062344435225791806,0.9531974359748299,0.9555589227281434,0.9625526140370092,0.27889713678498057,0.9543781793514866,0.9625526140370092,0.27889713678498057,0.8225517447123946
8437,13.496264531653445,17.14928114231994,0.7847576152660899,-0.0152423847339101,0.0152423847339101,0.0,42.306254200497776,41.05110116801221,58.39416223857182,44.37851786882096,6.898186559203507,14.626051914187506,catboost,CatBoost + CQR,validation_2024,16,0.8,2.3380991543288587,12,0.015242384733910153,0.9588450679469116,0.962735601492851,0.971575112932976,0.6818663838507246,0.9607903347198813,0.971575112932976,0.6818663838507246,0.9093194558312878
8437,13.532656304011104,17.21106418298356,0.78748370273794,-0.01251629726206,0.01251629726206,0.0,42.55560538519162,41.44177181303505,58.7067366220261,44.601547388364885,6.708545691596539,14.543084034609455,catboost,CatBoost + CQR,validation_2024,17,0.8,2.459850688517193,12,0.01251629726206005,0.9636086406525216,0.9696953926223061,0.9821316254799303,0.559915164343989,0.9666520166374138,0.9821316254799303,0.559915164343989,0.8914964897157356
8437,13.625836791907254,17.308755053368387,0.7898542135830271,-0.0101457864169729,0.0101457864169729,0.0,42.53777529737974,41.372375095449264,58.78764280141059,44.339547313864095,6.910039113428944,14.104539528268342,catboost,CatBoost + CQR,validation_2024,18,0.8,2.434484585269701,12,0.010145786416972946,0.975805684107156,0.9807001610155429,0.9848640538010228,0.4538706256424771,0.9782529225613494,0.9848640538010228,0.4538706256424771,0.8760209156734444
8437,13.707951056283314,17.336152718080825,0.7845205641815811,-0.0154794358184189,0.0154794358184189,0.0,42.816328705875335,41.66842863818851,58.643156701528106,44.326753888165634,7.2300580775157055,14.317885504326185,catboost,CatBoost + CQR,validation_2024,19,0.8,0.7423038666037356,24,0.01547943581841893,0.986554192442467,0.9837864776128692,0.9799843534576547,0.6924708377208788,0.9851703350276682,0.9799843534576547,0.6924708377208788,0.9245560429383048
8437,13.711267085434764,17.348329728061596,0.783809410928055,-0.016190589071945,0.016190589071945,0.0,42.92697156182436,41.84768430050501,58.63920690752442,44.49762319420648,7.099679981035913,14.519378926158588,catboost,CatBoost + CQR,validation_2024,20,0.8,0.7152226475822254,24,0.01619058907194504,0.9869882506081868,0.9851582043057796,0.9798509578495532,0.7242841993313314,0.9860732274569832,0.9798509578495532,0.7242841993313314,0.931226513988881
8437,13.719937159147849,17.366077101585418,0.7849946663505986,-0.0150053336494014,0.0150053336494014,0.0,42.72834716117152,41.52979753058334,58.7500632351912,44.03949753390109,6.933744221879815,14.56678914306033,catboost,CatBoost + CQR,validation_2024,21,0.8,0.7264397656119153,24,0.015005333649401487,0.9881231369800121,0.9871574262847482,0.9835948865777845,0.6712619299805754,0.9876402816323802,0.9835948865777845,0.6712619299805754,0.922746453280181
8437,13.70926948614873,17.36875121081412,0.7841649875548181,-0.0158350124451819,0.0158350124451819,0.0,42.86212914522605,41.67421616306527,58.73997453979477,44.32728218327886,7.064122318359607,14.519378926158588,catboost,CatBoost + CQR,validation_2024,22,0.8,0.7589732541177199,24,0.01583501244518193,0.9867267709159591,0.9874586617287993,0.9832541630726852,0.7083775185261026,0.9870927163223792,0.9832541630726852,0.7083775185261026,0.9298142554632464
8437,13.7256926913825,17.408310864519404,0.7861799217731421,-0.0138200782268579,0.0138200782268579,0.0,43.049621810920456,41.83018361993175,59.02234872544923,44.2858696222179,6.92189166765438,14.460116155031413,catboost,CatBoost + CQR,validation_2024,23,0.8,0.7945566335638574,24,0.013820078226857935,0.9888765187056887,0.991915012921376,0.9927907303398275,0.6182396606298195,0.9903957658135323,0.9927907303398275,0.6182396606298195,0.9169225305873079
8437,13.8106715977831,17.48008242722083,0.7776460827308285,-0.0223539172691715,0.0223539172691715,0.0,42.960028522341744,41.75836590705678,59.23581250045546,44.395610242585896,7.13523764371222,15.10015408320493,catboost,CatBoost + CQR,validation_2024,24,0.8,0.6392730834692291,24,0.022353917269171575,0.9999999999998691,0.9999999999998873,0.9999999999999662,0.9999999999552651,0.9999999999998782,0.9999999999999662,0.9999999999552651,0.9999999999909909
8381,6.916341229554572,9.72747976571734,0.77079107505071,-0.02920892494929,0.02920892494929,0.0,20.280968749474997,19.55198818230283,33.9466988256324,21.699932215703328,9.0919937954898,13.828898699439208,catboost,CatBoost + CQR,test_2025,1,0.8,0.5952297176076371,1,0.02920892494929006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8381,9.98382792641132,13.39691806502458,0.7589786421668059,-0.0410213578331941,0.0410213578331941,0.0,29.004183040267847,28.31366719568428,46.90559004365552,31.63885621409993,8.60279202959074,15.499343753728672,catboost,CatBoost + CQR,test_2025,2,0.8,1.1402024552561325,1,0.04102135783319416,0.32466027645538376,0.33829243505368617,0.32630626471633173,0.13217623497849454,0.33147635575453493,0.32630626471633173,0.13217623497849454,0.28954829518404557
8381,11.677152868838164,15.356552031721302,0.75492184703496,-0.04507815296504,0.04507815296504,0.0,34.30819624776649,33.44837751558132,53.24884782483763,37.10722158328709,8.328361770671759,16.17945352583224,catboost,CatBoost + CQR,test_2025,3,0.8,1.2155355131894965,4,0.04507815296504003,0.5038803997245179,0.5189547850740976,0.4860301730266058,0.1775700934559575,0.5114175923993078,0.4860301730266058,0.1775700934559575,0.434493124861557
8381,12.9218103921481,16.64760511396279,0.7329674263214414,-0.0670325736785586,0.0670325736785586,0.0,36.48960905804951,35.78324974245838,58.456629741625264,39.817688229644624,8.125522014079465,18.5777353537764,catboost,CatBoost + CQR,test_2025,4,0.8,1.396580399114434,4,0.06703257367855864,0.6356139312909787,0.6379794028357576,0.6171626778168933,0.4232309746281076,0.6367966670633681,0.6171626778168933,0.4232309746281076,0.5862299328777262
8381,13.708610318332608,17.509045082365624,0.7248538360577497,-0.0751461639422503,0.0751461639422503,0.0,38.40938843106807,37.502292899047504,61.748593989832905,41.64872072885471,7.767569502446009,19.747046891779025,catboost,CatBoost + CQR,test_2025,5,0.8,1.5383344490438304,4,0.07514616394225038,0.7188881902508921,0.7173971776539315,0.7000546891271178,0.5140186915830335,0.7181426839524119,0.7000546891271178,0.5140186915830335,0.6700826875484186
8381,14.28538591133971,18.127450117090927,0.7161436582746689,-0.0838563417253311,0.0838563417253311,0.0,39.37809955766082,38.36863439311686,64.9266744835028,43.03611102762194,7.779501252833791,20.60613291969932,catboost,CatBoost + CQR,test_2025,6,0.8,1.4052796535747802,4,0.08385634172533118,0.7799336460210131,0.7744091037261529,0.7800790953367299,0.6114819759611154,0.777171374873583,0.7800790953367299,0.6114819759611154,0.7451965832763483
8381,14.71257358377729,18.628232756829263,0.7197231833910035,-0.0802768166089965,0.0802768166089965,0.0,40.95431997401854,40.1074408279574,66.45116367721242,44.66915324132472,7.254504235771388,20.773177425128267,catboost,CatBoost + CQR,test_2025,7,0.8,1.6444737053037883,4,0.08027681660899655,0.8251468389499452,0.8205771994430581,0.8184658960306003,0.571428571422177,0.8228620191965017,0.8184658960306003,0.571428571422177,0.7708168803752762
8381,14.92428926406129,18.85575307765532,0.7186493258561031,-0.0813506741438969,0.0813506741438969,0.0,41.59940792517861,40.698286240621314,67.13704006030257,45.40373864118352,7.349958238873643,20.785109175516048,catboost,CatBoost + CQR,test_2025,8,0.8,1.7749989837291371,4,0.08135067414389696,0.8475546529304839,0.8415527267794827,0.835736336599777,0.5834445927838587,0.8445536898549832,0.835736336599777,0.5834445927838587,0.788804929138676
8381,15.177100206084184,19.15510481290856,0.7063596229566877,-0.0936403770433123,0.0936403770433123,0.0,40.68104680161791,40.01668304628191,68.62987006513983,45.37222922199547,7.409616990812553,21.954420713518672,catboost,CatBoost + CQR,test_2025,9,0.8,2.093608047800068,12,0.0936403770433123,0.8743119557126617,0.8691505276405803,0.8733259555370381,0.7209612817008778,0.871731241676621,0.8733259555370381,0.7209612817008778,0.8422151352256393
8381,15.351788055447129,19.344003413865902,0.7056437179334208,-0.0943562820665792,0.0943562820665792,0.0,41.37481334378874,40.7358377477059,69.1722224167496,46.00828171945982,7.182913733444696,22.25271447321322,catboost,CatBoost + CQR,test_2025,10,0.8,2.2513221575501063,12,0.0943562820665792,0.8928007744337617,0.8865654458061638,0.8869824456669786,0.7289719626086653,0.8896831101199627,0.8869824456669786,0.7289719626086653,0.8564606148365097
8381,15.380252041050609,19.409498173658218,0.7070755279799547,-0.0929244720200453,0.0929244720200453,0.0,41.78544551491537,41.09847720947268,69.51582749579963,46.3675201947861,6.872688223362368,22.419758978642168,catboost,CatBoost + CQR,test_2025,11,0.8,2.2063786844321958,12,0.09292447202004539,0.8958133793277022,0.8926035311931239,0.8956344582501568,0.7129506007930904,0.894208455260413,0.8956344582501568,0.7129506007930904,0.858527285562846
8381,15.482203613757177,19.46806049936377,0.6997971602434077,-0.1002028397565923,0.1002028397565923,0.0,41.77218767364038,41.06488767548052,70.33385680147809,46.6677414084741,7.278367736546952,22.74191623911228,catboost,CatBoost + CQR,test_2025,12,0.8,2.285999330362316,12,0.10020283975659239,0.9066038501760004,0.8980025024114376,0.9162325235223764,0.7943925233555974,0.902303176293719,0.9162325235223764,0.7943925233555974,0.8862927845975578
8381,15.635471086673212,19.694714363145867,0.6934733325378833,-0.1065266674621167,0.1065266674621167,0.0,41.7172973327292,40.87805941040307,71.08783151297231,46.81393934542296,7.433480491588115,23.21918625462355,catboost,CatBoost + CQR,test_2025,13,0.8,2.062289457647765,12,0.1065266674621167,0.9228255538200706,0.9188981494393895,0.9352176872728122,0.8651535380410529,0.92086185162973,0.9352176872728122,0.8651535380410529,0.9154625231692276
8381,15.705887217028156,19.743066055150045,0.6933540150340055,-0.1066459849659945,0.1066459849659945,0.0,41.84457270761206,41.10639987834631,71.86837631071752,46.94120722394182,6.908483474525713,23.756115022073736,catboost,CatBoost + CQR,test_2025,14,0.8,2.3543528907378573,12,0.10664598496599453,0.9302783393110006,0.9233557830859744,0.9548718886323987,0.8664886515256843,0.9268170611984875,0.9548718886323987,0.8664886515256843,0.9259733102374914
8381,15.787666613042386,19.84799254407,0.6928767450184942,-0.1071232549815058,0.1071232549815058,0.0,41.94579086807416,41.3083886411374,72.26595382509055,47.37023082330424,6.7653024698723305,23.94702302827825,catboost,CatBoost + CQR,test_2025,15,0.8,2.6327211663543224,12,0.10712325498150588,0.9389338035206874,0.9330291539245211,0.964882932900587,0.8718291054642101,0.9359814787226043,0.964882932900587,0.8718291054642101,0.9347115857421187
8381,15.889393391282256,19.975735888435803,0.6828540746927574,-0.1171459253072426,0.1171459253072426,0.0,41.44090754831099,40.91486935696162,72.87289978764986,46.8370633093017,7.027800978403532,24.686791552320724,catboost,CatBoost + CQR,test_2025,16,0.8,2.3380991543288587,12,0.11714592530724266,0.9497004823069767,0.9448060536847837,0.9801658970520215,0.9839786381732355,0.9472532679958802,0.9801658970520215,0.9839786381732355,0.9677633936538078
8381,15.962086673354356,20.08940200931802,0.6854790597780694,-0.1145209402219306,0.1145209402219306,0.0,41.85470861654768,41.34938016290885,73.22809553617424,47.272892068306106,6.622121465218947,24.82997255697411,catboost,CatBoost + CQR,test_2025,17,0.8,2.459850688517193,12,0.1145209402219306,0.9573942796682369,0.9552851476713515,0.9891097639303016,0.9546061415113474,0.9563397136697942,0.9891097639303016,0.9546061415113474,0.9691010193423077
8381,16.1437797036961,20.29641311533054,0.6814222646462236,-0.1185777353537764,0.1185777353537764,0.0,41.6115471126092,40.9555723144597,73.66058917734956,47.356153264834894,6.9681422264646224,24.889631308913017,catboost,CatBoost + CQR,test_2025,18,0.8,2.434484585269701,12,0.11857773535377647,0.9766245209994259,0.9743698918267044,0.9999999999999748,0.9999999999888104,0.9754972064130651,0.9999999999999748,0.9999999999888104,0.990198882562978
8381,16.1362443234494,20.280029924429662,0.6993198902278964,-0.1006801097721036,0.1006801097721036,0.0,43.48175902517456,42.472325855744735,72.3047371394104,46.62684950852261,6.657916716382293,23.410094260828064,catboost,CatBoost + CQR,test_2025,19,0.8,0.7423038666037356,24,0.10068010977210362,0.9758269825336202,0.972859494569213,0.9658595008967309,0.799732977294122,0.9743432385514166,0.9658595008967309,0.799732977294122,0.9360276912380834
8381,16.116868396386334,20.29533340918608,0.6977687626774848,-0.1022312373225152,0.1022312373225152,0.0,43.50521735119201,42.67196389314617,72.0835587633198,46.74818753362261,6.645984965994511,23.57713876625701,catboost,CatBoost + CQR,test_2025,20,0.8,0.7152226475822254,24,0.10223123732251527,0.9737762503027941,0.9742703516816036,0.9602902057677022,0.8170894525943283,0.9740233009921988,0.9602902057677022,0.8170894525943283,0.9371432932228261
8381,16.154165045344314,20.339605459574024,0.7007517002744302,-0.0992482997255698,0.0992482997255698,0.0,43.315254334100985,42.35526699160389,72.25242684655062,46.51752934791665,6.407349958238874,23.5174800143181,catboost,CatBoost + CQR,test_2025,21,0.8,0.7264397656119153,24,0.09924829972556981,0.9777236970428126,0.978351875475963,0.9645423221364405,0.7837116154785472,0.9780377862593879,0.9645423221364405,0.7837116154785472,0.9337743664540409
8381,16.246133870038864,20.43047078573742,0.6997971602434077,-0.1002028397565923,0.1002028397565923,0.0,43.466949614007646,42.60130950829105,72.21850775848473,46.58464738303272,6.383486457463309,23.63679751819592,catboost,CatBoost + CQR,test_2025,22,0.8,0.7589732541177199,24,0.10020283975659239,0.9874576020280259,0.98672892120952,0.9636882358768097,0.7943925233555974,0.987093261618773,0.9636882358768097,0.7943925233555974,0.9391911036693527
8381,16.273427939001788,20.484190447442774,0.702899415344231,-0.0971005846557691,0.0971005846557691,0.0,43.71378373345965,42.69707842861257,72.65515762205422,46.5863637715991,6.288032454361055,23.422026011215845,catboost,CatBoost + CQR,test_2025,23,0.8,0.7945566335638574,24,0.0971005846557691,0.9903463839041382,0.9916814381034533,0.9746831260702,0.7596795727551848,0.9910139110037958,0.9746831260702,0.7596795727551848,0.9382147293806352
8381,16.364638170427693,20.574421402838404,0.695024460088295,-0.104975539911705,0.104975539911705,0.0,43.489769291860085,42.39509016119077,73.27439589334553,46.594152467610726,6.13291969931989,24.364634291850614,catboost,CatBoost + CQR,test_2025,24,0.8,0.6392730834692291,24,0.10497553991170505,0.9999999999998942,0.9999999999999079,0.9902756118681701,0.8477970627408467,0.999999999999901,0.9902756118681701,0.8477970627408467,0.9656696572953978
